date,location,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,daily_vaccinations_raw
2020-07-29,Brazil,0,2343366,0,85238,,,,,
2020-07-30,Brazil,0,2343366,0,85238,,,,,
2020-07-31,Brazil,0,2343366,0,85238,,,,,
2020-08-01,Brazil,0,2343366,0,85238,,,,,
2020-08-02,Brazil,319119,2662485,7237,92475,,,,,
2020-08-03,Brazil,0,2662485,0,92475,,,,,
2020-08-04,Brazil,0,2662485,0,92475,,,,,
2020-08-05,Brazil,0,2662485,0,92475,,,,,
2020-08-06,Brazil,0,2662485,0,92475,,,,,
2020-08-07,Brazil,0,2662485,0,92475,,,,,
2020-08-08,Brazil,0,2662485,0,92475,,,,,
2020-08-09,Brazil,299957,2962442,7097,99572,,,,,
2020-08-10,Brazil,0,2962442,0,99572,,,,,
2020-08-11,Brazil,0,2962442,0,99572,,,,,
2020-08-12,Brazil,0,2962442,0,99572,,,,,
2020-08-13,Brazil,0,2962442,0,99572,,,,,
2020-08-14,Brazil,0,2962442,0,99572,,,,,
2020-08-15,Brazil,0,2962442,0,99572,,,,,
2020-08-16,Brazil,313078,3275520,6951,106523,,,,,
2020-08-17,Brazil,0,3275520,0,106523,,,,,
2020-08-18,Brazil,0,3275520,0,106523,,,,,
2020-08-19,Brazil,0,3275520,0,106523,,,,,
2020-08-20,Brazil,0,3275520,0,106523,,,,,
2020-08-21,Brazil,0,3275520,0,106523,,,,,
2020-08-22,Brazil,0,3275520,0,106523,,,,,
2020-08-23,Brazil,256810,3532330,6835,113358,,,,,
2020-08-24,Brazil,0,3532330,0,113358,,,,,
2020-08-25,Brazil,0,3532330,0,113358,,,,,
2020-08-26,Brazil,0,3532330,0,113358,,,,,
2020-08-27,Brazil,0,3532330,0,113358,,,,,
2020-08-28,Brazil,0,3532330,0,113358,,,,,
2020-08-29,Brazil,0,3532330,0,113358,,,,,
2020-08-30,Brazil,272473,3804803,6146,119504,,,,,
2020-08-31,Brazil,0,3804803,0,119504,,,,,
2020-09-01,Brazil,0,3804803,0,119504,,,,,
2020-09-02,Brazil,0,3804803,0,119504,,,,,
2020-09-03,Brazil,0,3804803,0,119504,,,,,
2020-09-04,Brazil,0,3804803,0,119504,,,,,
2020-09-05,Brazil,0,3804803,0,119504,,,,,
2020-09-06,Brazil,288029,4092832,6017,125521,,,,,
2020-09-07,Brazil,0,4092832,0,125521,,,,,
2020-09-08,Brazil,0,4092832,0,125521,,,,,
2020-09-09,Brazil,0,4092832,0,125521,,,,,
2020-09-10,Brazil,0,4092832,0,125521,,,,,
2020-09-11,Brazil,0,4092832,0,125521,,,,,
2020-09-12,Brazil,0,4092832,0,125521,,,,,
2020-09-13,Brazil,189332,4282164,4875,130396,,,,,
2020-09-14,Brazil,0,4282164,0,130396,,,,,
2020-09-15,Brazil,0,4282164,0,130396,,,,,
2020-09-16,Brazil,0,4282164,0,130396,,,,,
2020-09-17,Brazil,0,4282164,0,130396,,,,,
2020-09-18,Brazil,0,4282164,0,130396,,,,,
2020-09-19,Brazil,0,4282164,0,130396,,,,,
2020-09-20,Brazil,213019,4495183,5397,135793,,,,,
2020-09-21,Brazil,0,4495183,0,135793,,,,,
2020-09-22,Brazil,0,4495183,0,135793,,,,,
2020-09-23,Brazil,0,4495183,0,135793,,,,,
2020-09-24,Brazil,0,4495183,0,135793,,,,,
2020-09-25,Brazil,0,4495183,0,135793,,,,,
2020-09-26,Brazil,0,4495183,0,135793,,,,,
2020-09-27,Brazil,194430,4689613,4744,140537,,,,,
2020-09-28,Brazil,0,4689613,0,140537,,,,,
2020-09-29,Brazil,0,4689613,0,140537,,,,,
2020-09-30,Brazil,0,4689613,0,140537,,,,,
2020-10-01,Brazil,0,4689613,0,140537,,,,,
2020-10-02,Brazil,0,4689613,0,140537,,,,,
2020-10-03,Brazil,0,4689613,0,140537,,,,,
2020-10-04,Brazil,190910,4880523,4851,145388,,,,,
2020-10-05,Brazil,0,4880523,0,145388,,,,,
2020-10-06,Brazil,0,4880523,0,145388,,,,,
2020-10-07,Brazil,0,4880523,0,145388,,,,,
2020-10-08,Brazil,0,4880523,0,145388,,,,,
2020-10-09,Brazil,0,4880523,0,145388,,,,,
2020-10-10,Brazil,0,4880523,0,145388,,,,,
2020-10-11,Brazil,175365,5055888,4251,149639,,,,,
2020-10-12,Brazil,0,5055888,0,149639,,,,,
2020-10-13,Brazil,0,5055888,0,149639,,,,,
2020-10-14,Brazil,0,5055888,0,149639,,,,,
2020-10-15,Brazil,0,5055888,0,149639,,,,,
2020-10-16,Brazil,0,5055888,0,149639,,,,,
2020-10-17,Brazil,0,5055888,0,149639,,,,,
2020-10-18,Brazil,144412,5200300,3575,153214,,,,,
2020-10-19,Brazil,0,5200300,0,153214,,,,,
2020-10-20,Brazil,0,5200300,0,153214,,,,,
2020-10-21,Brazil,0,5200300,0,153214,,,,,
2020-10-22,Brazil,0,5200300,0,153214,,,,,
2020-10-23,Brazil,0,5200300,0,153214,,,,,
2020-10-24,Brazil,0,5200300,0,153214,,,,,
2020-10-25,Brazil,153356,5353656,3257,156471,,,,,
2020-10-26,Brazil,0,5353656,0,156471,,,,,
2020-10-27,Brazil,0,5353656,0,156471,,,,,
2020-10-28,Brazil,0,5353656,0,156471,,,,,
2020-10-29,Brazil,0,5353656,0,156471,,,,,
2020-10-30,Brazil,0,5353656,0,156471,,,,,
2020-10-31,Brazil,0,5353656,0,156471,,,,,
2020-11-01,Brazil,163002,5516658,3006,159477,,,,,
2020-11-02,Brazil,0,5516658,0,159477,,,,,
2020-11-03,Brazil,0,5516658,0,159477,,,,,
2020-11-04,Brazil,0,5516658,0,159477,,,,,
2020-11-05,Brazil,0,5516658,0,159477,,,,,
2020-11-06,Brazil,0,5516658,0,159477,,,,,
2020-11-07,Brazil,0,5516658,0,159477,,,,,
2020-11-08,Brazil,114523,5631181,2538,162015,,,,,
2020-11-09,Brazil,0,5631181,0,162015,,,,,
2020-11-10,Brazil,0,5631181,0,162015,,,,,
2020-11-11,Brazil,0,5631181,0,162015,,,,,
2020-11-12,Brazil,0,5631181,0,162015,,,,,
2020-11-13,Brazil,0,5631181,0,162015,,,,,
2020-11-14,Brazil,0,5631181,0,162015,,,,,
2020-11-15,Brazil,179471,5810652,2722,164737,,,,,
2020-11-16,Brazil,0,5810652,0,164737,,,,,
2020-11-17,Brazil,0,5810652,0,164737,,,,,
2020-11-18,Brazil,0,5810652,0,164737,,,,,
2020-11-19,Brazil,0,5810652,0,164737,,,,,
2020-11-20,Brazil,0,5810652,0,164737,,,,,
2020-11-21,Brazil,0,5810652,0,164737,,,,,
2020-11-22,Brazil,209512,6020164,3876,168613,,,,,
2020-11-23,Brazil,0,6020164,0,168613,,,,,
2020-11-24,Brazil,0,6020164,0,168613,,,,,
2020-11-25,Brazil,0,6020164,0,168613,,,,,
2020-11-26,Brazil,0,6020164,0,168613,,,,,
2020-11-27,Brazil,0,6020164,0,168613,,,,,
2020-11-28,Brazil,0,6020164,0,168613,,,,,
2020-11-29,Brazil,218186,6238350,3361,171974,,,,,
2020-11-30,Brazil,0,6238350,0,171974,,,,,
2020-12-01,Brazil,0,6238350,0,171974,,,,,
2020-12-02,Brazil,0,6238350,0,171974,,,,,
2020-12-03,Brazil,0,6238350,0,171974,,,,,
2020-12-04,Brazil,0,6238350,0,171974,,,,,
2020-12-05,Brazil,0,6238350,0,171974,,,,,
2020-12-06,Brazil,295618,6533968,3990,175964,,,,,
2020-12-07,Brazil,0,6533968,0,175964,,,,,
2020-12-08,Brazil,0,6533968,0,175964,,,,,
2020-12-09,Brazil,0,6533968,0,175964,,,,,
2020-12-10,Brazil,0,6533968,0,175964,,,,,
2020-12-11,Brazil,0,6533968,0,175964,,,,,
2020-12-12,Brazil,0,6533968,0,175964,,,,,
2020-12-13,Brazil,302259,6836227,4473,180437,,,,,
2020-12-14,Brazil,0,6836227,0,180437,,,,,
2020-12-15,Brazil,0,6836227,0,180437,,,,,
2020-12-16,Brazil,0,6836227,0,180437,,,,,
2020-12-17,Brazil,0,6836227,0,180437,,,,,
2020-12-18,Brazil,0,6836227,0,180437,,,,,
2020-12-19,Brazil,0,6836227,0,180437,,,,,
2020-12-20,Brazil,326751,7162978,5213,185650,,,,,
2020-12-21,Brazil,0,7162978,0,185650,,,,,
2020-12-22,Brazil,0,7162978,0,185650,,,,,
2020-12-23,Brazil,0,7162978,0,185650,,,,,
2020-12-24,Brazil,0,7162978,0,185650,,,,,
2020-12-25,Brazil,0,7162978,0,185650,,,,,
2020-12-26,Brazil,0,7162978,0,185650,,,,,
2020-12-27,Brazil,285582,7448560,4838,190488,,,,,
2020-12-28,Brazil,0,7448560,0,190488,,,,,
2020-12-29,Brazil,0,7448560,0,190488,,,,,
2020-12-30,Brazil,0,7448560,0,190488,,,,,
2020-12-31,Brazil,0,7448560,0,190488,,,,,
2021-01-01,Brazil,0,7448560,0,190488,,,,,
2021-01-02,Brazil,0,7448560,0,190488,,,,,
2021-01-03,Brazil,252018,7700578,4923,195411,,,,,
2021-01-04,Brazil,0,7700578,0,195411,,,,,
2021-01-05,Brazil,0,7700578,0,195411,,,,,
2021-01-06,Brazil,0,7700578,0,195411,,,,,
2021-01-07,Brazil,0,7700578,0,195411,,,,,
2021-01-08,Brazil,0,7700578,0,195411,,,,,
2021-01-09,Brazil,0,7700578,0,195411,,,,,
2021-01-10,Brazil,313130,8013708,6049,201460,,,,,
2021-01-11,Brazil,0,8013708,0,201460,,,,,
2021-01-12,Brazil,0,8013708,0,201460,,,,,
2021-01-13,Brazil,0,8013708,0,201460,,,,,
2021-01-14,Brazil,0,8013708,0,201460,,,,,
2021-01-15,Brazil,0,8013708,0,201460,,,,,
2021-01-16,Brazil,0,8013708,0,201460,,,,,
